Exercício,Vídeo
Cadeira extensora quadril 90°,https://youtube.com/shorts/UE19-gI7CxQ?feature=share
Leg press 45° unilateral,https://youtube.com/shorts/vxTf4hhP144?feature=share
Rosca direta barra w,https://youtube.com/shorts/vkZmFzAmrKg?feature=share
Remada alta ajoelhado na polia,https://youtube.com/shorts/hqjNW1RQ5To?feature=share
Desenvolvimento no smith,https://youtube.com/shorts/B1hhqgU--kU?feature=share
Elevação frontal com anilha PN,https://youtube.com/shorts/OOhY9IqNMO0?feature=share
Crucifixo invertido com rotação lateral banco,https://youtube.com/shorts/zq6PXdQUZRo?feature=share
Encolhimento com halteres,https://youtube.com/shorts/CFdEHAJIYu8?feature=share
Prancha com as maos na bola,https://youtube.com/shorts/zZEyV4fxxsk?feature=share
Abdominal Obliquos no solo com perna cruzada,https://youtube.com/shorts/QJ0cW8patNo?feature=share
Afundo completo + parcial ambaixo,https://youtube.com/shorts/drqkMF4A-Ok?feature=share
Tríceps testa com barra w,https://youtube.com/shorts/Hiolc8ceqQ8?feature=share
Triceps francês com corda na polia,https://youtube.com/shorts/QjM7oBljoKU?feature=share
Triceps pulley invertido,https://youtube.com/shorts/UnklnssKI0s?feature=share
Supino inclinado 30° halteres,https://youtube.com/shorts/iDBF8LsfiOA?feature=share
Agachamento hack Angular elástico unilateral,https://youtube.com/shorts/lP2djAIz7UU?feature=share
Passo Lateral com Elástico na Coxa,https://youtube.com/shorts/Bf0n52AXrIQ?feature=share
Passada com foco em Glúteos,https://youtube.com/shorts/inlcyiYWTSk?feature=share
Desenvolvimento sentado com halteres PP,https://youtube.com/shorts/xf7dKI4jEWE?feature=share
Elevação frontal corda na polia,https://youtube.com/shorts/QwKMAPEtHQs?feature=share
Abdominal Oblíquo de lado com pernas estendidas no Solo,https://youtube.com/shorts/GG_KsWrljuI?feature=share
Prancha com pes na bola,https://youtube.com/shorts/pdzpOURKy4w?feature=share
Coice na polia média,https://youtube.com/shorts/KYEcvj-oUFM?feature=share
Remada articulada pegada neutra,https://youtube.com/shorts/P3hHufKvGuo?feature=share
Rosca direta apoiado na parede,https://youtube.com/shorts/iOizZ3c_43U?feature=share
Rosca concentrada na polia,https://youtube.com/shorts/MntBz7FeFss?feature=share
Agachamento livre com barra,https://youtube.com/shorts/6uwHR1HCuiw?feature=share
Elevação lateral unilateral apoiado,https://youtube.com/shorts/_U4cnWUJXng?feature=share
Remada unilateral com halter deltóide posterior,https://youtube.com/shorts/LTZNDyIT10M?feature=share
Elevação frontal unilateral na polia,https://youtube.com/shorts/n9NeaXCxZ5w?feature=share
Desenvolvimento banco com halteres PN,https://youtube.com/shorts/XJGOGNkUXOA?feature=share
Abdominal crunch de costas na polia,https://youtube.com/shorts/XdPfpBKyoMM?feature=share
Elevação pélvica unilateral com elástico,https://youtube.com/shorts/i7hRUhRKa5A?feature=share
Agachamento búlgaro halter contralateral,https://youtube.com/shorts/TWYSRPfUMsc?feature=share
Tríceps francês com halteres bilateral,https://youtube.com/shorts/tVFVkFZJE1g?feature=share
Tríceps testa unilateral na polia neutra,https://youtube.com/shorts/2_6bWkhO38o?feature=share
Tríceps pulley unilateral pegada pronada,https://youtube.com/shorts/NNFyMpvYnrs?feature=share
Manguito externo com miniband 45º,https://youtube.com/shorts/G30SXeSiwxA?feature=share
